model_key,relation_key,n_total,n_train,n_test,core_q,thr_train_delta,delta_mean_test,delta_mean_test_core,delta_mean_test_periphery,core_frac_test,gap_core_minus_periphery,gap_core_minus_all,pos_share_core
mistral_7b_instruct,word_last_letter,241,180,61,0.3,0.6681865930557251,0.6315245618585681,0.6968764066696167,0.6019606320630937,0.3114754098360656,0.094915774606523,0.06535184481104861,0.34370771539542244
mistral_7b_instruct,word_sentiment,60,45,15,0.3,0.8366494655609131,0.8219423015912374,0.845933198928833,0.8182513943085303,0.13333333333333333,0.027681804620302675,0.02399089733759563,0.1372250740376221
mistral_7b_instruct,work_location,38,28,10,0.3,0.6990319967269898,0.5610108613967896,0.7258136868476868,0.5426994363466898,0.1,0.18311425050099694,0.1648028254508972,0.1293760489842524
qwen2_5_7b_instruct,adj_antonym,100,75,25,0.3,0.48069772124290466,0.4642950665950775,0.5011512860655785,0.4469509633148418,0.32,0.05420032275073666,0.03685621947050094,0.34540192881447546
qwen2_5_7b_instruct,adj_comparative,68,51,17,0.3,0.5338698625564575,0.4967493695371291,0.547639012336731,0.4858444460800716,0.17647058823529413,0.061794566256659356,0.05088964279960184,0.19454917222685064
qwen2_5_7b_instruct,adj_superlative,80,60,20,0.3,0.512661874294281,0.49526043236255646,0.5320143529347011,0.47546985974678624,0.35,0.05654449318791488,0.03675392057214466,0.37597395503389136
qwen2_5_7b_instruct,characteristic_gender,30,22,8,0.3,0.6018463194370269,0.5871448814868927,0.6083534757296244,0.5744197249412537,0.375,0.03393375078837069,0.021208594242731693,0.3885455883067286
qwen2_5_7b_instruct,company_ceo,298,223,75,0.3,0.4540306031703948,0.44453551093737287,0.47730621695518494,0.41586114317178724,0.4666666666666667,0.0614450737833977,0.03277070601781207,0.5010688589896106
qwen2_5_7b_instruct,company_hq,674,505,169,0.3,0.5352616906166077,0.504397587134288,0.5660439844314868,0.47699918833553284,0.3076923076923077,0.089044796095954,0.061646397297198896,0.3452978052781675
qwen2_5_7b_instruct,country_currency,30,22,8,0.3,0.4827341318130493,0.4523589499294758,0.49682456254959106,0.437537079056104,0.25,0.05928748349348706,0.04446561262011528,0.27457429693114704
qwen2_5_7b_instruct,degree_gender,38,28,10,0.3,0.6121981382369995,0.595443069934845,0.6366353631019592,0.5851449966430664,0.2,0.05149036645889282,0.04119229316711426,0.21383584602693306
qwen2_5_7b_instruct,food_from_country,30,22,8,0.3,0.5915246605873108,0.5846061706542969,0.6066694259643555,0.5772517522176107,0.25,0.029417673746744755,0.022063255310058594,0.2594350934088521
qwen2_5_7b_instruct,fruit_inside_color,36,27,9,0.3,0.588510274887085,0.5683755212359958,0.6005192697048187,0.5591915931020465,0.2222222222222222,0.041327676602772256,0.03214374846882295,0.23478971492451278
qwen2_5_7b_instruct,fruit_outside_color,30,22,8,0.3,0.5729555428028107,0.5564864128828049,0.5882204920053482,0.5247523337602615,0.5,0.06346815824508667,0.031734079122543335,0.5285128966205563
qwen2_5_7b_instruct,landmark_in_country,836,627,209,0.3,0.6044121265411377,0.5782972803811708,0.6258120274139662,0.5596081465482712,0.2822966507177033,0.06620388086569506,0.04751474703279546,0.3054910429483154
qwen2_5_7b_instruct,landmark_on_continent,947,710,237,0.3,0.6222913384437561,0.5971225423400413,0.6422054091015378,0.5766554739943311,0.31223628691983124,0.06554993510720664,0.04508286676149653,0.33581018661912454
